,gbifID,type,format,URL,group,Common Name,Scientific Name,Type,id
756,1249269160,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_33_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269160
757,1249269159,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_13_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269159
758,1249269158,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_26_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269158
759,1249269157,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_31_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269157
761,1249269155,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_17_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269155
762,1249269154,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_40_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269154
764,1249269152,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_01_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269152
765,1249269151,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_08_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269151
766,1249269150,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_05_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269150
768,1249269148,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_28_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269148
769,1249269147,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_11_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269147
770,1249269146,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_15_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269146
771,1249269145,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_21_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269145
772,1249269144,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_16_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269144
773,1249269143,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_02_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269143
774,1249269142,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_30_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269142
775,1249269141,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_07_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269141
776,1249269140,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_09_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269140
777,1249269139,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_38_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269139
778,1249269138,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_24_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269138
780,1249269136,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_20_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269136
781,1249269135,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_03_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269135
782,1249269134,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_29_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269134
784,1249269132,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_36_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269132
785,1249269131,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_12_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269131
786,1249269130,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_32_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269130
787,1249269129,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_27_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269129
788,1249269128,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_19_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269128
789,1249269127,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_14_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269127
790,1249269126,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_34_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269126
791,1249269125,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Gracula_religiosa_Lue0100_10_short.mp3,Aves,Hill Myna,Gracula religiosa,Not Dangerous,1249269125
1142,1230243946,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Galerida_cristata_Lue0085_02_short.mp3,Aves,Crested Lark,Galerida cristata,Not Dangerous,1230243946
1145,1230243943,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Galerida_cristata_Lue0085_05_short.mp3,Aves,Crested Lark,Galerida cristata,Not Dangerous,1230243943
1146,1230243942,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Galerida_cristata_Lue0085_04_short.mp3,Aves,Crested Lark,Galerida cristata,Not Dangerous,1230243942
1147,1230243941,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Galerida_cristata_Lue0085_03_short.mp3,Aves,Crested Lark,Galerida cristata,Not Dangerous,1230243941
1478,1229954238,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Picus_canus_Lue0074_02_short.mp3,Aves,Grey-Heades Woodpecker,Picus canus,Not Dangerous,1229954238
1556,1229953788,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Nucifraga_caryocatactes_Lue0078_02_short.mp3,Aves,Spotted NutCracker,Nucifraga caryocatactes,Not Dangerous,1229953788
1779,1229953178,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Lue0078_11_short.mp3,Aves,Raven,Corvus corax,Not Dangerous,1229953178
1793,1229953163,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Lue0078_15_short.mp3,Aves,Raven,Corvus corax,Not Dangerous,1229953163
1794,1229953162,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Lue0078_14_short.mp3,Aves,Raven,Corvus corax,Not Dangerous,1229953162
1802,1229953154,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Lue0078_04_short.mp3,Aves,Raven,Corvus corax,Not Dangerous,1229953154
1805,1229953150,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Lue0078_17_short.mp3,Aves,Raven,Corvus corax,Not Dangerous,1229953150
1812,1229953143,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Lue0078_07_short.mp3,Aves,Raven,Corvus corax,Not Dangerous,1229953143
1814,1229953141,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Lue0078_19_short.mp3,Aves,Raven,Corvus corax,Not Dangerous,1229953141
1818,1229953137,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Lue0078_16_short.mp3,Aves,Raven,Corvus corax,Not Dangerous,1229953137
1821,1229953132,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Lue0078_06_short.mp3,Aves,Raven,Corvus corax,Not Dangerous,1229953132
1826,1229953127,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Lue0078_10_short.mp3,Aves,Raven,Corvus corax,Not Dangerous,1229953127
1834,1229953118,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Lue0078_13_short.mp3,Aves,Raven,Corvus corax,Not Dangerous,1229953118
1835,1229953117,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Lue0078_18_short.mp3,Aves,Raven,Corvus corax,Not Dangerous,1229953117
1842,1229953110,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Lue0078_08_short.mp3,Aves,Raven,Corvus corax,Not Dangerous,1229953110
1847,1229953105,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Lue0078_05_short.mp3,Aves,Raven,Corvus corax,Not Dangerous,1229953105
1851,1229953100,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Lue0078_09_short.mp3,Aves,Raven,Corvus corax,Not Dangerous,1229953100
1860,1229953090,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Lue0078_03_short.mp3,Aves,Raven,Corvus corax,Not Dangerous,1229953090
1865,1229953084,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Corvus_corax_Lue0078_12_short.mp3,Aves,Raven,Corvus corax,Not Dangerous,1229953084
2077,1229950760,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Anas_platyrhynchos_Lue0064_08_short.mp3,Aves,Mallard,Anas platyrhynchos,Not Dangerous,1229950760
2079,1229950758,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Anas_platyrhynchos_Lue0064_03_short.mp3,Aves,Mallard,Anas platyrhynchos,Not Dangerous,1229950758
2080,1229950757,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Anas_platyrhynchos_Lue0064_10_short.mp3,Aves,Mallard,Anas platyrhynchos,Not Dangerous,1229950757
2081,1229950756,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Anas_platyrhynchos_Lue0064_14_short.mp3,Aves,Mallard,Anas platyrhynchos,Not Dangerous,1229950756
2082,1229950755,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Anas_platyrhynchos_Lue0064_06_short.mp3,Aves,Mallard,Anas platyrhynchos,Not Dangerous,1229950755
2083,1229950754,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Anas_platyrhynchos_Lue0064_07_short.mp3,Aves,Mallard,Anas platyrhynchos,Not Dangerous,1229950754
2084,1229950753,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Anas_platyrhynchos_Lue0064_04_short.mp3,Aves,Mallard,Anas platyrhynchos,Not Dangerous,1229950753
2086,1229950751,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Anas_platyrhynchos_Lue0064_13_short.mp3,Aves,Mallard,Anas platyrhynchos,Not Dangerous,1229950751
2087,1229950750,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Anas_platyrhynchos_Lue0064_09_short.mp3,Aves,Mallard,Anas platyrhynchos,Not Dangerous,1229950750
2088,1229950749,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Anas_platyrhynchos_Lue0064_05_short.mp3,Aves,Mallard,Anas platyrhynchos,Not Dangerous,1229950749
2089,1229950748,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Anas_platyrhynchos_Lue0064_12_short.mp3,Aves,Mallard,Anas platyrhynchos,Not Dangerous,1229950748
2091,1229950746,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Anas_platyrhynchos_Lue0064_02_short.mp3,Aves,Mallard,Anas platyrhynchos,Not Dangerous,1229950746
2093,1229950744,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Anas_platyrhynchos_Lue0064_11_short.mp3,Aves,Mallard,Anas platyrhynchos,Not Dangerous,1229950744
2266,1228010201,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Strix_aluco_Lue0058_04_short.mp3,Aves,Tawny Owl,Strix aluco,Not Dangerous,1228010201
2267,1228010200,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Strix_aluco_Lue0058_05_short.mp3,Aves,Tawny Owl,Strix aluco,Not Dangerous,1228010200
2268,1228010199,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Strix_aluco_Lue0058_07_short.mp3,Aves,Tawny Owl,Strix aluco,Not Dangerous,1228010199
2269,1228010198,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Strix_aluco_Lue0058_02_short.mp3,Aves,Tawny Owl,Strix aluco,Not Dangerous,1228010198
2271,1228010196,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Strix_aluco_Lue0058_06_short.mp3,Aves,Tawny Owl,Strix aluco,Not Dangerous,1228010196
2277,1228010189,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Strix_aluco_Lue0058_03_short.mp3,Aves,Tawny Owl,Strix aluco,Not Dangerous,1228010189
2278,1228010188,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Strix_aluco_Lue0058_09_short.mp3,Aves,Tawny Owl,Strix aluco,Not Dangerous,1228010188
2389,1228004090,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Athene_noctua_Lue0058_05_short.mp3,Aves,Athene,Athene noctua,Not Dangerous,1228004090
2393,1228004086,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Athene_noctua_Lue0058_04_short.mp3,Aves,Athene,Athene noctua,Not Dangerous,1228004086
2394,1228004085,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Athene_noctua_Lue0058_03_short.mp3,Aves,Athene,Athene noctua,Not Dangerous,1228004085
2421,1143570706,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_viscivorus_Kr0076_01_short.mp3,Aves,Mistle Thrush,Turdus viscivorus,Not Dangerous,1143570706
2422,1143570704,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_viscivorus_Kr0074_01_short.mp3,Aves,Mistle Thrush,Turdus viscivorus,Not Dangerous,1143570704
2423,1143570700,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_pilaris_Kr0077_03_short.mp3,Aves,Fieldfare,Turdus pilaris,Not Dangerous,1143570700
2550,1143567529,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Troglodytes_troglodytes_Kr0062_04_short.mp3,Aves,Wren,Troglodytes troglodytes,Not Dangerous,1143567529
2616,1143515454,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Rallus_aquaticus_Kr0051_02_short.mp3,Aves,Water Rail,Rallus aquaticus,Not Dangerous,1143515454
2617,1143515453,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Rallus_aquaticus_Kr0070_05_short.mp3,Aves,Water Rail,Rallus aquaticus,Not Dangerous,1143515453
2618,1143515452,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Rallus_aquaticus_Kr0060_01_short.mp3,Aves,Water Rail,Rallus aquaticus,Not Dangerous,1143515452
2619,1143515451,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Rallus_aquaticus_Kr0062_02_short.mp3,Aves,Water Rail,Rallus aquaticus,Not Dangerous,1143515451
2620,1143515450,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Rallus_aquaticus_Kr0061_01_short.mp3,Aves,Water Rail,Rallus aquaticus,Not Dangerous,1143515450
2621,1143515449,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Rallus_aquaticus_Kr0061_08_short.mp3,Aves,Water Rail,Rallus aquaticus,Not Dangerous,1143515449
2783,1143515026,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Locustella_naevia_Kr0076_03_short.mp3,Aves,Grasshopper Warbler,Locustella naevia,Not Dangerous,1143515026
2788,1143515019,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Locustella_naevia_Kr0062_05_short.mp3,Aves,Grasshopper Warbler,Locustella naevia,Not Dangerous,1143515019
2956,1143514579,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Caprimulgus_europaeus_Kr0058_02_short.mp3,Aves,European Nightjar,Caprimulgus europaeus,Not Dangerous,1143514579
3028,1143514467,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Anas_platyrhynchos_Kr0061_09_short.mp3,Aves,Mallard,Anas platyrhynchos,Not Dangerous,1143514467
3029,1143514466,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Anas_platyrhynchos_Kr0065_03_short.mp3,Aves,Mallard,Anas platyrhynchos,Not Dangerous,1143514466
3094,1142105503,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Rallus_aquaticus_Lue0044_03_short.mp3,Aves,Water Rail,Rallus aquaticus,Not Dangerous,1142105503
3095,1142105502,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Rallus_aquaticus_Lue0044_06_short.mp3,Aves,Water Rail,Rallus aquaticus,Not Dangerous,1142105502
3096,1142105501,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Rallus_aquaticus_Lue0044_05_short.mp3,Aves,Water Rail,Rallus aquaticus,Not Dangerous,1142105501
3208,1132421387,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_pilaris_Kr0075_07_short.mp3,Aves,Fieldfare,Turdus pilaris,Not Dangerous,1132421387
3282,1099300071,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Turdus_pilaris_Kr0034_02_short.mp3,Aves,Fieldfare,Turdus pilaris,Not Dangerous,1099300071
3290,1099286969,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Sylvia_melanocephala_Kr0030_04_short.mp3,Aves,Sardinian Warbler,Sylvia melanocephala,Not Dangerous,1099286969
3295,1099284818,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Rallus_aquaticus_Kr0019_04_short.mp3,Aves,Water Rail,Rallus aquaticus,Not Dangerous,1099284818
3296,1099284817,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Rallus_aquaticus_Kr0016_09_short.mp3,Aves,Water Rail,Rallus aquaticus,Not Dangerous,1099284817
3297,1099284816,Sound,audio/mpeg,http://www.tierstimmenarchiv.de/recordings/Rallus_aquaticus_Kr0019_03_short.mp3,Aves,Water Rail,Rallus aquaticus,Not Dangerous,1099284816
